ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Popp A.,Haehnel J.,134,106,6,2,6,3,2,6,6,4,,,3,1,Completed,1.28,3.5,1.28,3.55,1.37,2.92,1.35,2.7,1.35,3.65
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Arthurs W.,Volandri F.,85,32,6,3,6,4,6,4,,,,,3,0,Completed,1.12,5.5,1.13,5.65,1.1,6.25,1.15,4,1.16,6.7
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Garcia-Lopez G.,Ferrer D.,81,15,6,3,6,2,7,6,,,,,3,0,Completed,2,1.72,1.93,1.83,1.85,1.9,1.8,1.8,2.06,1.86
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Hanescu V.,Carlsen K.,60,50,6,7,7,6,6,3,5,7,6,4,3,2,Completed,1.9,1.8,2,1.77,1.95,1.8,1.95,1.65,2.14,1.81
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Monaco J.,128,68,6,3,7,6,6,3,,,,,3,0,Completed,1.22,4,1.2,4.25,1.25,3.9,1.2,3.6,1.25,4.65
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Pavel A.,Karanusic R.,41,179,6,2,4,6,6,2,6,4,,,3,1,Completed,1.72,2,1.77,2,1.75,2.05,1.65,1.95,1.76,2.22
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Muller G.,Mantilla F.,69,76,5,4,,,,,,,,,0,0,Retired,1.25,3.75,1.25,3.85,1.28,3.46,1.25,3.2,1.27,4.35
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Kucera K.,Horna L.,157,55,4,6,6,3,6,3,6,4,,,3,1,Completed,1.57,2.25,1.62,2.25,1.6,2.3,1.5,2.2,1.6,2.56
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Spadea V.,3,39,6,4,6,3,6,0,,,,,3,0,Completed,1.19,4.33,1.25,3.85,1.21,4.06,1.25,3.2,1.25,4.6
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Mirnyi M.,Schuettler R.,36,72,6,3,6,3,6,4,,,,,3,0,Completed,1.36,3,1.33,3.1,1.37,2.92,1.4,2.5,1.42,3.2
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Rochus O.,Goldstein P.,35,101,6,4,6,2,6,2,,,,,3,0,Completed,1.16,4.5,1.13,5.25,1.2,4.25,1.2,3.6,1.18,5.95
