ATP,Tournament,Tournament_Int,Date,Series,Series_Int,Court,Court_Int,Surface,Surface_Int,Round,Round_Int,Best_of,Winner,Winner_Int,Player1,Player1_Int,Player2,Player2_Int,Player1_Rank,Player2_Rank,Player1_Odds,Player2_Odds,Player1_Implied_Prob,Player2_Implied_Prob
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,MelzerG.,6.1868,MelzerG.,6.1868,MathieuP.H.,6.4052,68,73,2.15,1.68,0.4651,0.5952
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,TsongaJ.W.,6.9188,KuznetsovAn.,6.718,TsongaJ.W.,6.9188,46,12,3.5,1.29,0.2857,0.7752
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,KarlovicI.,6.975,KarlovicI.,6.975,MarchenkoI.,6.4656,20,74,1.41,2.82,0.7092,0.3546
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,MurrayA.,6.2537,ChardyJ.,6.2796,MurrayA.,6.2537,69,1,11.77,1.04,0.085,0.9615
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,BerdychT.,6.2517,BerdychT.,6.2517,GiannessiA.,6.4651,10,128,1.07,8.1,0.9346,0.1235
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,AlmagroN.,6.1043,KohlschreiberP.,6.5159,AlmagroN.,6.1043,32,44,1.54,2.43,0.6494,0.4115
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,VerdascoF.,6.682,VerdascoF.,6.682,GoffinD.,6.2789,42,11,3.25,1.33,0.3077,0.7519
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,StepanekR.,6.7437,DeGreefA.,6.5248,StepanekR.,6.7437,134,107,3.99,1.24,0.2506,0.8065
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,BerdychT.,6.2517,BerdychT.,6.2517,VeselyJ.,6.1474,10,55,1.3,3.44,0.7692,0.2907
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,DjokovicN.,6.9457,ZeballosH.,6.7499,DjokovicN.,6.9457,71,2,16.32,1.02,0.0613,0.9804
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,MurrayA.,6.2537,MurrayA.,6.2537,MelzerG.,6.1868,1,68,1.01,17.24,0.9901,0.058
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,KarlovicI.,6.975,KhachanovK.,6.8015,KarlovicI.,6.975,53,20,2.25,1.62,0.4444,0.6173
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,TsongaJ.W.,6.9188,TsongaJ.W.,6.9188,BrownD.,6.8965,12,72,1.17,4.88,0.8547,0.2049
3,QatarExxonMobilOpen,1.9727,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Quarterfinals,5.6489,3,VerdascoF.,6.682,KarlovicI.,6.975,VerdascoF.,6.682,20,42,2.02,1.77,0.495,0.565
3,QatarExxonMobilOpen,1.9727,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Quarterfinals,5.6489,3,DjokovicN.,6.9457,DjokovicN.,6.9457,StepanekR.,6.7437,2,107,1.02,15.26,0.9804,0.0655
3,QatarExxonMobilOpen,1.9727,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Quarterfinals,5.6489,3,MurrayA.,6.2537,AlmagroN.,6.1043,MurrayA.,6.2537,44,1,10.56,1.05,0.0947,0.9524
3,QatarExxonMobilOpen,1.9727,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Quarterfinals,5.6489,3,BerdychT.,6.2517,BerdychT.,6.2517,TsongaJ.W.,6.9188,10,12,2.22,1.64,0.4505,0.6098
