ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Tsitsipas S.,Donaldson J.,35,54,1254,945,6,3,6,2,3,6,4,6,6,3,3,2,Completed,1.61,2.25,1.6,2.2,1.61,2.25,1.65,2.4,1.7,2.4,1.63,2.29
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Fabbiano T.,Wawrinka S.,133,224,424,255,7,6,6,3,7,6,,,,,3,0,Completed,3.5,1.3,3.35,1.28,3.25,1.33,3.59,1.34,3.7,1.35,3.49,1.31
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Isner J.,Bemelmans R.,10,104,3045,545,6,1,6,4,6,7,6,7,7,5,3,2,Completed,1.25,4,1.22,3.85,1.25,4,1.24,4.55,1.28,4.55,1.24,4.09
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Kyrgios N.,Haase R.,18,43,1855,1075,6,3,6,4,7,5,,,,,3,0,Completed,1.16,5,1.14,5,1.17,5.5,1.17,6.02,1.2,6.02,1.16,5.32
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Zeballos H.,21,126,1715,438,6,1,6,2,6,3,,,,,3,0,Completed,1.01,23,1.01,11.5,1.01,21,1.02,24.52,1.03,29.75,1.01,18.53
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Khachanov K.,Baghdatis M.,40,95,1130,599,6,3,6,4,3,6,6,7,7,5,3,2,Completed,1.3,3.5,1.25,3.6,1.28,3.75,1.27,4.23,1.3,4.23,1.26,3.89
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Ebden M.,Robert S.,51,158,989,359,6,3,7,6,4,6,6,1,,,3,1,Completed,1.2,4.5,1.14,5,1.17,5,1.16,6.16,1.2,6.16,1.15,5.48
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Vesely J.,Schwartzman D.,93,11,640,2435,6,3,6,4,7,6,,,,,3,0,Completed,1.8,2,1.8,1.9,1.91,1.91,1.88,2.02,1.95,2.02,1.86,1.95
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Gulbis E.,Dzumhur D.,138,23,402,1665,2,6,6,4,6,3,1,6,6,3,3,2,Completed,2.75,1.44,2.95,1.35,3,1.4,3.05,1.43,3.3,1.45,3.02,1.39
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Paire B.,Shapovalov D.,47,25,1010,1588,0,6,6,2,6,4,7,6,,,3,1,Completed,3.25,1.36,2.95,1.35,3,1.4,3.19,1.41,3.25,1.45,3.08,1.38
