Loser,Date,B365L,Tournament,Round
Tomic B.,28/05/2019,5.5,French Open,1st Round
Tomic B.,14/01/2019,4,Australian Open,1st Round
De Chaunac S.,22/01/09,9,Australian Open,2nd Round
Ebelthite C.,20/01/09,4,Australian Open,1st Round
Groth S.,19/01/09,9,Australian Open,1st Round
Groth S.,30/08/14,26,US Open,2nd Round
Groth S.,23/06/14,2.75,Wimbledon,1st Round
Groth S.,13/01/14,2.75,Australian Open,1st Round
Groth S.,2/9/2015,3,US Open,2nd Round
Groth S.,4/7/2015,15,Wimbledon,3rd Round
Groth S.,25/05/15,9,French Open,1st Round
Groth S.,23/01/15,3.75,Australian Open,3rd Round
Groth S.,27/06/16,9,Wimbledon,1st Round
Groth S.,24/05/16,34,French Open,1st Round
Groth S.,21/01/16,21,Australian Open,2nd Round
Groth S.,16/01/17,2.37,Australian Open,1st Round
Ouahab L.,19/01/09,3.75,Australian Open,1st Round
Stoppini A.,19/01/09,21,Australian Open,1st Round
Berankis R.,2/9/2010,2.87,US Open,2nd Round
Berankis R.,23/06/10,2.37,Wimbledon,2nd Round
Berankis R.,22/01/11,5.5,Australian Open,3rd Round
Berankis R.,28/08/13,34,US Open,1st Round
Berankis R.,25/06/13,1.66,Wimbledon,1st Round
Berankis R.,27/05/13,3.5,French Open,1st Round
Berankis R.,19/01/13,26,Australian Open,3rd Round
Berankis R.,13/01/14,3.25,Australian Open,1st Round
Berankis R.,2/9/2015,5,US Open,2nd Round
Berankis R.,1/7/2015,9,Wimbledon,2nd Round
Berankis R.,25/05/15,2.37,French Open,1st Round
Berankis R.,21/01/15,3.4,Australian Open,2nd Round
Berankis R.,1/9/2016,8,US Open,2nd Round
Berankis R.,27/06/16,1.28,Wimbledon,1st Round
Berankis R.,24/05/16,2.25,French Open,1st Round
Berankis R.,18/01/16,4.5,Australian Open,1st Round
Berankis R.,30/08/17,5.5,US Open,1st Round
Berankis R.,4/7/2017,2.75,Wimbledon,1st Round
Berankis R.,30/05/17,3.5,French Open,1st Round
Berankis R.,28/08/2018,7,US Open,1st Round
Berankis R.,2/7/2018,2.5,Wimbledon,1st Round
Berankis R.,27/05/18,21,French Open,1st Round
Berankis R.,16/01/18,2.62,Australian Open,1st Round
Berankis R.,29/08/2019,4,US Open,2nd Round
Berankis R.,4/7/2019,8,Wimbledon,2nd Round
Berankis R.,26/05/2019,8,French Open,1st Round
Brown D.,3/9/2010,21,US Open,2nd Round
Brown D.,21/06/10,5.5,Wimbledon,1st Round
Brown D.,23/05/11,3,French Open,1st Round
Brown D.,17/01/11,3.5,Australian Open,1st Round
Brown D.,27/06/12,17,Wimbledon,1st Round
Brown D.,28/06/13,1.61,Wimbledon,3rd Round
Brown D.,26/08/14,3.4,US Open,1st Round
Brown D.,23/06/14,2.1,Wimbledon,1st Round
Brown D.,27/05/14,2.5,French Open,1st Round
Brown D.,1/9/2015,2.25,US Open,1st Round
Brown D.,4/7/2015,3,Wimbledon,3rd Round
Brown D.,19/01/15,8,Australian Open,1st Round
Brown D.,30/08/16,15,US Open,1st Round
Brown D.,1/7/2016,8,Wimbledon,2nd Round
Brown D.,25/05/16,4.5,French Open,2nd Round
Brown D.,31/08/17,8,US Open,2nd Round
Brown D.,5/7/2017,9,Wimbledon,2nd Round
Brown D.,30/05/17,8,French Open,1st Round
Brown D.,17/01/17,11,Australian Open,1st Round
Brown D.,15/01/18,3.25,Australian Open,1st Round
Dodig I.,2/9/2010,4.5,US Open,2nd Round
Dodig I.,24/06/10,6.5,Wimbledon,2nd Round
Dodig I.,21/01/10,2,Australian Open,2nd Round
Dodig I.,30/08/11,2.1,US Open,1st Round
Dodig I.,21/06/11,1.38,Wimbledon,1st Round
Dodig I.,22/05/11,2.2,French Open,1st Round
Dodig I.,19/01/11,15,Australian Open,2nd Round
Dodig I.,30/08/12,19,US Open,2nd Round
Dodig I.,26/06/12,1.72,Wimbledon,1st Round
Dodig I.,29/05/12,4.33,French Open,1st Round
Dodig I.,17/01/12,1.25,Australian Open,1st Round
Dodig I.,31/08/13,19,US Open,3rd Round
Dodig I.,1/7/2013,3.4,Wimbledon,4th Round
Dodig I.,28/05/13,1.4,French Open,1st Round
Dodig I.,19/01/13,9,Australian Open,3rd Round
Dodig I.,27/08/14,2.1,US Open,1st Round
Dodig I.,26/05/14,3,French Open,1st Round
Dodig I.,15/01/14,1.14,Australian Open,2nd Round
Dodig I.,25/05/15,1.36,French Open,1st Round
Dodig I.,22/01/15,10,Australian Open,2nd Round
Dodig I.,31/08/16,1.83,US Open,1st Round
Dodig I.,29/06/16,7,Wimbledon,1st Round
Dodig I.,25/05/16,4,French Open,2nd Round
Dodig I.,18/01/16,1.12,Australian Open,1st Round
Dodig I.,17/01/17,1.8,Australian Open,1st Round
Dolgopolov O.,31/08/10,5.5,US Open,1st Round
Dolgopolov O.,24/06/10,3.75,Wimbledon,2nd Round
Dolgopolov O.,29/05/10,4,French Open,3rd Round
Dolgopolov O.,5/9/2011,19,US Open,4th Round
Dolgopolov O.,21/06/11,1.25,Wimbledon,1st Round
Dolgopolov O.,28/05/11,1.61,French Open,3rd Round
Dolgopolov O.,26/01/11,8,Australian Open,Quarterfinals
Dolgopolov O.,2/9/2012,2.1,US Open,3rd Round
Dolgopolov O.,28/06/12,1.5,Wimbledon,2nd Round
Dolgopolov O.,29/05/12,1.18,French Open,1st Round
Dolgopolov O.,20/01/12,2.1,Australian Open,3rd Round
Dolgopolov O.,30/08/13,2.37,US Open,2nd Round
Dolgopolov O.,29/06/13,2.87,Wimbledon,3rd Round
Dolgopolov O.,28/05/13,1.18,French Open,1st Round
Dolgopolov O.,15/01/13,1.57,Australian Open,1st Round
Dolgopolov O.,27/06/14,3.4,Wimbledon,3rd Round
Dolgopolov O.,28/05/14,1.25,French Open,2nd Round
Dolgopolov O.,15/01/14,1.66,Australian Open,2nd Round
Dolgopolov O.,1/9/2015,1.25,US Open,1st Round
Dolgopolov O.,2/7/2015,1.72,Wimbledon,2nd Round
Dolgopolov O.,26/05/15,2.5,French Open,1st Round
Dolgopolov O.,20/01/15,2.1,Australian Open,1st Round
Dolgopolov O.,30/08/16,3.25,US Open,1st Round
Dolgopolov O.,30/06/16,1.36,Wimbledon,2nd Round
Dolgopolov O.,20/01/16,10,Australian Open,2nd Round
Dolgopolov O.,4/9/2017,6,US Open,4th Round
Dolgopolov O.,4/7/2017,19,Wimbledon,1st Round
Dolgopolov O.,1/6/2017,5.5,French Open,2nd Round
Dolgopolov O.,19/01/17,4,Australian Open,2nd Round
Dolgopolov O.,19/01/18,1.72,Australian Open,3rd Round
Haider-Maurer A.,30/08/10,15,US Open,1st Round
Haider-Maurer A.,30/08/11,2.5,US Open,1st Round
Haider-Maurer A.,23/06/11,6.5,Wimbledon,2nd Round
Haider-Maurer A.,26/05/11,5,French Open,2nd Round
Haider-Maurer A.,28/05/12,3.75,French Open,1st Round
Haider-Maurer A.,29/08/13,3,US Open,2nd Round
Haider-Maurer A.,25/06/13,3,Wimbledon,1st Round
Haider-Maurer A.,27/05/13,11,French Open,1st Round
Haider-Maurer A.,26/08/14,7,US Open,1st Round
Haider-Maurer A.,25/06/14,10,Wimbledon,2nd Round
Haider-Maurer A.,29/05/14,3,French Open,2nd Round
Haider-Maurer A.,3/9/2015,34,US Open,2nd Round
Haider-Maurer A.,29/06/15,2.5,Wimbledon,1st Round
Haider-Maurer A.,25/05/15,2.5,French Open,1st Round
Haider-Maurer A.,22/01/15,5.5,Australian Open,2nd Round
Haider-Maurer A.,28/08/17,3.75,US Open,1st Round
Haider-Maurer A.,3/7/2017,13,Wimbledon,1st Round
Haider-Maurer A.,28/05/18,11,French Open,1st Round
Haider-Maurer A.,15/01/18,13,Australian Open,1st Round
Harrison R.,3/9/2010,3.5,US Open,2nd Round
Harrison R.,19/01/10,8,Australian Open,1st Round
Harrison R.,29/08/11,2.87,US Open,1st Round
Harrison R.,24/06/11,6.5,Wimbledon,2nd Round
Harrison R.,24/05/11,10,French Open,1st Round
Harrison R.,17/01/11,2.37,Australian Open,1st Round
Harrison R.,31/08/12,7,US Open,2nd Round
Harrison R.,27/06/12,21,Wimbledon,2nd Round
Harrison R.,28/05/12,9,French Open,1st Round
Harrison R.,17/01/12,19,Australian Open,1st Round
Harrison R.,26/08/13,21,US Open,1st Round
Harrison R.,25/06/13,2.25,Wimbledon,1st Round
Harrison R.,31/05/13,3.5,French Open,2nd Round
Harrison R.,16/01/13,34,Australian Open,2nd Round
Harrison R.,27/08/14,8,US Open,1st Round
Harrison R.,23/06/14,9,Wimbledon,1st Round
Harrison R.,14/01/14,6.5,Australian Open,1st Round
Harrison R.,2/9/2015,1.57,US Open,1st Round
Harrison R.,2/9/2016,2.1,US Open,3rd Round
Harrison R.,19/01/16,3,Australian Open,1st Round
Harrison R.,30/08/17,4,US Open,1st Round
Harrison R.,6/7/2017,6,Wimbledon,2nd Round
Harrison R.,29/05/17,4,French Open,1st Round
Harrison R.,18/01/17,5,Australian Open,2nd Round
Harrison R.,27/08/2018,4.33,US Open,1st Round
Harrison R.,4/7/2018,2.75,Wimbledon,2nd Round
Harrison R.,29/05/18,2.2,French Open,1st Round
Harrison R.,19/01/18,5.5,Australian Open,3rd Round
Harrison R.,17/01/2019,5,Australian Open,2nd Round
Klahn B.,1/9/2010,13,US Open,1st Round
Klahn B.,31/08/12,10,US Open,2nd Round
Klahn B.,29/08/13,3.75,US Open,2nd Round
Klahn B.,25/08/14,1.66,US Open,1st Round
Klahn B.,24/06/14,6,Wimbledon,1st Round
Klahn B.,27/05/14,4.33,French Open,1st Round
Klahn B.,14/01/14,4.5,Australian Open,1st Round
Klahn B.,27/08/2018,5,US Open,1st Round
Klahn B.,5/7/2018,5.5,Wimbledon,2nd Round
Klahn B.,28/08/2019,5,US Open,2nd Round
Klahn B.,1/7/2019,13,Wimbledon,1st Round
Klahn B.,27/05/2019,4.5,French Open,1st Round
Klahn B.,15/01/2019,2.75,Australian Open,1st Round
Klizan M.,30/08/10,5,US Open,1st Round
Klizan M.,3/9/2012,4,US Open,4th Round
Klizan M.,27/06/12,5.5,Wimbledon,2nd Round
Klizan M.,30/05/12,1.44,French Open,2nd Round
Klizan M.,27/08/13,1.9,US Open,1st Round
Klizan M.,25/06/13,13,Wimbledon,1st Round
Klizan M.,31/05/13,41,French Open,2nd Round
Klizan M.,15/01/13,2.1,Australian Open,1st Round
Klizan M.,29/08/14,8,US Open,2nd Round
Klizan M.,24/06/14,7,Wimbledon,1st Round
Klizan M.,31/05/14,1.36,French Open,3rd Round
Klizan M.,18/01/14,1.66,Australian Open,3rd Round
Klizan M.,2/9/2015,3,US Open,2nd Round
Klizan M.,29/06/15,3.5,Wimbledon,1st Round
Klizan M.,27/05/15,2.37,French Open,2nd Round
Klizan M.,21/01/15,1.36,Australian Open,2nd Round
Klizan M.,29/08/16,1.72,US Open,1st Round
Klizan M.,28/06/16,3,Wimbledon,1st Round
Klizan M.,23/05/16,2.75,French Open,1st Round
Klizan M.,18/01/16,7,Australian Open,1st Round
Klizan M.,4/7/2017,15,Wimbledon,1st Round
Klizan M.,1/6/2017,9,French Open,2nd Round
Klizan M.,16/01/17,11,Australian Open,1st Round
Klizan M.,30/05/18,2.2,French Open,2nd Round
Klizan M.,27/08/2019,5.5,US Open,1st Round
Klizan M.,1/7/2019,3.75,Wimbledon,1st Round
Klizan M.,1/6/2019,3.5,French Open,3rd Round
Klizan M.,15/01/2019,3.75,Australian Open,1st Round
Kukushkin M.,1/9/2010,4.33,US Open,1st Round
Kukushkin M.,1/9/2011,2.87,US Open,2nd Round
Kukushkin M.,21/06/11,34,Wimbledon,1st Round
Kukushkin M.,25/05/11,3.4,French Open,2nd Round
Kukushkin M.,18/01/11,2.87,Australian Open,1st Round
Kukushkin M.,29/08/12,2,US Open,1st Round
Kukushkin M.,26/06/12,3.4,Wimbledon,1st Round
Kukushkin M.,30/05/12,3.5,French Open,2nd Round
Kukushkin M.,23/01/12,23,Australian Open,4th Round
Kukushkin M.,31/08/13,9,US Open,3rd Round
Kukushkin M.,14/01/13,5.5,Australian Open,1st Round
Kukushkin M.,26/08/14,1.4,US Open,1st Round
Kukushkin M.,28/06/14,NA,Wimbledon,3rd Round
Kukushkin M.,28/05/14,4,French Open,2nd Round
Kukushkin M.,13/01/14,2.1,Australian Open,1st Round
Kukushkin M.,4/9/2015,4.33,US Open,3rd Round
Kukushkin M.,30/06/15,26,Wimbledon,1st Round
Kukushkin M.,24/05/15,1.08,French Open,1st Round
Kukushkin M.,19/01/15,1.4,Australian Open,1st Round
Kukushkin M.,29/08/16,4.33,US Open,1st Round
Kukushkin M.,30/06/16,6,Wimbledon,2nd Round
Kukushkin M.,23/05/16,1.61,French Open,1st Round
Kukushkin M.,19/01/16,2.1,Australian Open,1st Round
Kukushkin M.,1/9/2017,2.75,US Open,3rd Round
Kukushkin M.,6/7/2017,4.5,Wimbledon,2nd Round
Kukushkin M.,31/05/17,6,French Open,2nd Round
Kukushkin M.,17/01/17,2.5,Australian Open,1st Round
Kukushkin M.,1/9/2018,2.2,US Open,3rd Round
Kukushkin M.,5/7/2018,13,Wimbledon,2nd Round
Kukushkin M.,28/05/18,2.3,French Open,1st Round
Kukushkin M.,16/01/18,2.5,Australian Open,1st Round
Kukushkin M.,29/08/2019,1.72,US Open,2nd Round
Kukushkin M.,8/7/2019,6,Wimbledon,4th Round
Kukushkin M.,28/05/2019,2.37,French Open,1st Round
Kukushkin M.,15/01/2019,2.37,Australian Open,1st Round
Lojda D.,31/08/10,3.4,US Open,1st Round
Marchenko I.,30/08/10,5.5,US Open,1st Round
Marchenko I.,24/06/10,2.62,Wimbledon,2nd Round
Marchenko I.,25/05/10,5,French Open,1st Round
Marchenko I.,21/01/10,15,Australian Open,2nd Round
Marchenko I.,22/06/11,5.5,Wimbledon,1st Round
Marchenko I.,20/01/11,21,Australian Open,2nd Round
Marchenko I.,16/01/12,2.87,Australian Open,1st Round
Marchenko I.,26/05/13,11,French Open,1st Round
Marchenko I.,29/08/14,11,US Open,2nd Round
Marchenko I.,2/9/2015,2.37,US Open,2nd Round
Marchenko I.,26/05/15,3.5,French Open,1st Round
Marchenko I.,20/01/15,11,Australian Open,1st Round
Marchenko I.,5/9/2016,8,US Open,4th Round
Marchenko I.,27/06/16,1.9,Wimbledon,1st Round
Marchenko I.,24/05/16,2.5,French Open,1st Round
Marchenko I.,18/01/16,1.12,Australian Open,1st Round
Marchenko I.,3/7/2017,2.75,Wimbledon,1st Round
Marchenko I.,16/01/17,29,Australian Open,1st Round
Paire B.,3/9/2010,3.75,US Open,2nd Round
Paire B.,24/05/10,2.62,French Open,1st Round
Paire B.,21/06/11,12,Wimbledon,1st Round
Paire B.,23/05/11,4.5,French Open,1st Round
Paire B.,19/01/11,5.5,Australian Open,2nd Round
Paire B.,31/08/12,4.33,US Open,2nd Round
Paire B.,30/06/12,2.5,Wimbledon,3rd Round
Paire B.,31/05/12,21,French Open,2nd Round
Paire B.,16/01/12,4,Australian Open,1st Round
Paire B.,29/08/13,1.4,US Open,1st Round
Paire B.,29/06/13,1.33,Wimbledon,3rd Round
Paire B.,1/6/2013,1.72,French Open,3rd Round
Paire B.,15/01/13,21,Australian Open,1st Round
Paire B.,28/08/14,1.28,US Open,2nd Round
Paire B.,24/06/14,2.37,Wimbledon,1st Round
Paire B.,28/05/14,5,French Open,2nd Round
Paire B.,18/01/14,2.75,Australian Open,3rd Round
Paire B.,6/9/2015,3.5,US Open,4th Round
Paire B.,2/7/2015,4,Wimbledon,2nd Round
Paire B.,29/05/15,9,French Open,3rd Round
Paire B.,31/08/16,2.25,US Open,2nd Round
Paire B.,30/06/16,1.66,Wimbledon,2nd Round
Paire B.,25/05/16,1.4,French Open,2nd Round
Paire B.,18/01/16,1.06,Australian Open,1st Round
Paire B.,30/08/17,1.66,US Open,2nd Round
Paire B.,10/7/2017,7,Wimbledon,4th Round
Paire B.,29/05/17,21,French Open,1st Round
Paire B.,21/01/17,4.5,Australian Open,3rd Round
Paire B.,30/08/2018,13,US Open,2nd Round
Paire B.,7/7/2018,7,Wimbledon,3rd Round
Paire B.,30/05/18,4.33,French Open,2nd Round
Paire B.,16/01/18,1.44,Australian Open,1st Round
Paire B.,29/08/2019,1.44,US Open,2nd Round
Paire B.,8/7/2019,4.33,Wimbledon,4th Round
Paire B.,3/6/2019,2.75,French Open,4th Round
Paire B.,15/01/2019,3.75,Australian Open,1st Round
Raonic M.,30/08/10,1.72,US Open,1st Round
Raonic M.,22/06/11,1.28,Wimbledon,2nd Round
Raonic M.,23/05/11,1.16,French Open,1st Round
Raonic M.,24/01/11,4.33,Australian Open,4th Round
Raonic M.,4/9/2012,3.75,US Open,4th Round
Raonic M.,29/06/12,1.18,Wimbledon,2nd Round
Raonic M.,2/6/2012,1.9,French Open,3rd Round
Raonic M.,21/01/12,1.33,Australian Open,3rd Round
Raonic M.,2/9/2013,1.66,US Open,4th Round
Raonic M.,27/06/13,1.36,Wimbledon,2nd Round
Raonic M.,31/05/13,1.57,French Open,3rd Round
Raonic M.,21/01/13,7,Australian Open,4th Round
Raonic M.,2/9/2014,1.8,US Open,4th Round
Raonic M.,4/7/2014,3,Wimbledon,Semifinals
Raonic M.,3/6/2014,9,French Open,Quarterfinals
Raonic M.,18/01/14,1.72,Australian Open,3rd Round
Raonic M.,4/9/2015,1.53,US Open,3rd Round
Raonic M.,3/7/2015,1.5,Wimbledon,3rd Round
Raonic M.,28/01/15,6.5,Australian Open,Quarterfinals
Raonic M.,31/08/16,1.07,US Open,2nd Round
Raonic M.,10/7/2016,4.33,Wimbledon,The Final
Raonic M.,29/05/16,1.2,French Open,4th Round
Raonic M.,29/01/16,3.25,Australian Open,Semifinals
Raonic M.,12/7/2017,4.5,Wimbledon,Quarterfinals
Raonic M.,4/6/2017,1.53,French Open,4th Round
Raonic M.,25/01/17,2.2,Australian Open,Quarterfinals
Raonic M.,2/9/2018,1.57,US Open,4th Round
Raonic M.,11/7/2018,1.66,Wimbledon,Quarterfinals
Raonic M.,16/01/18,1.14,Australian Open,1st Round
Raonic M.,8/7/2019,1.2,Wimbledon,4th Round
Raonic M.,23/01/2019,1.14,Australian Open,Quarterfinals
Riba P.,31/08/10,5,US Open,1st Round
Riba P.,28/05/10,6.5,French Open,2nd Round
Riba P.,30/08/11,2.75,US Open,1st Round
Riba P.,21/06/11,7,Wimbledon,1st Round
Riba P.,25/05/11,2.75,French Open,2nd Round
Riba P.,20/01/11,11,Australian Open,2nd Round
Riba P.,18/01/12,9,Australian Open,2nd Round
Riba P.,27/05/13,3,French Open,1st Round
Riba P.,26/08/14,5.5,US Open,1st Round
Riba P.,24/06/14,8,Wimbledon,1st Round
Riba P.,27/05/14,8,French Open,1st Round
Rosol L.,31/08/10,4.33,US Open,1st Round
Rosol L.,31/08/11,2.25,US Open,1st Round
Rosol L.,28/05/11,4,French Open,3rd Round
Rosol L.,30/06/12,2.87,Wimbledon,3rd Round
Rosol L.,31/05/12,6,French Open,2nd Round
Rosol L.,17/01/12,3,Australian Open,1st Round
Rosol L.,27/08/13,2.5,US Open,1st Round
Rosol L.,24/06/13,1.4,Wimbledon,1st Round
Rosol L.,30/05/13,2.62,French Open,2nd Round
Rosol L.,17/01/13,4.5,Australian Open,2nd Round
Rosol L.,26/08/14,1.36,US Open,1st Round
Rosol L.,26/06/14,9,Wimbledon,2nd Round
Rosol L.,26/05/14,2,French Open,1st Round
Rosol L.,13/01/14,1.9,Australian Open,1st Round
Rosol L.,3/9/2015,3.4,US Open,2nd Round
Rosol L.,2/7/2015,1.33,Wimbledon,2nd Round
Rosol L.,29/05/15,1.72,French Open,3rd Round
Rosol L.,21/01/15,2,Australian Open,2nd Round
Rosol L.,31/08/16,26,US Open,1st Round
Rosol L.,27/06/16,4.33,Wimbledon,1st Round
Rosol L.,23/05/16,9,French Open,1st Round
Rosol L.,23/01/16,9,Australian Open,3rd Round
Rosol L.,5/7/2017,6,Wimbledon,2nd Round
Rosol L.,27/05/2019,2.37,French Open,1st Round
Smyczek T.,30/08/10,3.25,US Open,1st Round
Smyczek T.,24/05/11,12,French Open,1st Round
Smyczek T.,30/08/12,5.5,US Open,2nd Round
Smyczek T.,1/9/2013,2.5,US Open,3rd Round
Smyczek T.,16/01/13,26,Australian Open,2nd Round
Smyczek T.,29/08/14,3,US Open,2nd Round
Smyczek T.,14/01/14,4,Australian Open,1st Round
Smyczek T.,31/08/15,9,US Open,1st Round
Smyczek T.,30/06/15,2.62,Wimbledon,1st Round
Smyczek T.,26/05/15,9,French Open,1st Round
Smyczek T.,21/01/15,17,Australian Open,2nd Round
Smyczek T.,21/01/16,4.5,Australian Open,2nd Round
Smyczek T.,30/08/17,4,US Open,1st Round
Smyczek T.,28/08/2018,2.75,US Open,1st Round
Smyczek T.,18/01/18,2.75,Australian Open,2nd Round
Sock J.,1/9/2010,7,US Open,1st Round
Sock J.,3/9/2011,11,US Open,2nd Round
Sock J.,1/9/2012,4,US Open,3rd Round
Sock J.,31/08/13,3,US Open,3rd Round
Sock J.,31/05/13,5.5,French Open,2nd Round
Sock J.,26/08/14,1.18,US Open,1st Round
Sock J.,26/06/14,5,Wimbledon,2nd Round
Sock J.,31/05/14,1.5,French Open,3rd Round
Sock J.,16/01/14,7,Australian Open,2nd Round
Sock J.,3/9/2015,1.14,US Open,2nd Round
Sock J.,30/06/15,1.4,Wimbledon,1st Round
Sock J.,1/6/2015,9,French Open,4th Round
Sock J.,4/9/2016,2.2,US Open,4th Round
Sock J.,2/7/2016,5.5,Wimbledon,3rd Round
Sock J.,27/05/16,1.5,French Open,3rd Round
Sock J.,21/01/16,1.4,Australian Open,2nd Round
Sock J.,28/08/17,1.36,US Open,1st Round
Sock J.,6/7/2017,1.12,Wimbledon,2nd Round
Sock J.,29/05/17,1.4,French Open,1st Round
Sock J.,20/01/17,2.5,Australian Open,3rd Round
Sock J.,30/08/2018,1.36,US Open,2nd Round
Sock J.,3/7/2018,1.66,Wimbledon,1st Round
Sock J.,29/05/18,1.25,French Open,1st Round
Sock J.,15/01/18,1.4,Australian Open,1st Round
Sock J.,26/08/2019,2.2,US Open,1st Round
Sock J.,15/01/2019,1.36,Australian Open,1st Round
Alcaide G.,22/06/10,4.5,Wimbledon,1st Round
Fischer M.,24/06/10,2.25,Wimbledon,2nd Round
Fischer M.,25/05/10,4,French Open,1st Round
Fischer M.,20/06/11,2,Wimbledon,1st Round
Kavcic B.,22/06/10,2.75,Wimbledon,1st Round
Kavcic B.,27/05/10,7,French Open,2nd Round
Kavcic B.,18/01/10,2.75,Australian Open,1st Round
Kavcic B.,30/08/11,2.75,US Open,1st Round
Kavcic B.,21/06/11,2.37,Wimbledon,1st Round
Kavcic B.,25/05/11,10,French Open,2nd Round
Kavcic B.,20/01/11,6,Australian Open,2nd Round
Kavcic B.,27/08/12,2.5,US Open,1st Round
Kavcic B.,25/06/12,5.5,Wimbledon,1st Round
Kavcic B.,30/05/12,41,French Open,2nd Round
Kavcic B.,18/01/12,11,Australian Open,2nd Round
Kavcic B.,25/06/13,3,Wimbledon,1st Round
Kavcic B.,29/05/13,3,French Open,2nd Round
Kavcic B.,19/01/13,19,Australian Open,3rd Round
Kavcic B.,31/08/14,6.5,US Open,3rd Round
Kavcic B.,16/01/14,19,Australian Open,2nd Round
Kavcic B.,2/7/2015,13,Wimbledon,2nd Round
Kavcic B.,26/05/15,1.83,French Open,1st Round
Kavcic B.,19/01/15,1.53,Australian Open,1st Round
Kavcic B.,30/08/17,2.5,US Open,1st Round
Kavcic B.,16/01/18,15,Australian Open,1st Round
Lorenzi P.,21/06/10,2.75,Wimbledon,1st Round
Lorenzi P.,24/05/10,2.37,French Open,1st Round
Lorenzi P.,19/01/10,11,Australian Open,1st Round
Lorenzi P.,29/08/12,34,US Open,1st Round
Lorenzi P.,26/06/12,10,Wimbledon,1st Round
Lorenzi P.,29/05/12,19,French Open,1st Round
Lorenzi P.,17/01/12,67,Australian Open,1st Round
Lorenzi P.,27/08/13,21,US Open,1st Round
Lorenzi P.,24/06/13,2.75,Wimbledon,1st Round
Lorenzi P.,27/05/13,2.62,French Open,1st Round
Lorenzi P.,14/01/13,9,Australian Open,1st Round
Lorenzi P.,29/08/14,11,US Open,2nd Round
Lorenzi P.,24/06/14,34,Wimbledon,1st Round
Lorenzi P.,26/05/14,3.25,French Open,1st Round
Lorenzi P.,1/9/2015,4,US Open,1st Round
Lorenzi P.,30/06/15,10,Wimbledon,1st Round
Lorenzi P.,27/05/15,2.1,French Open,1st Round
Lorenzi P.,22/01/15,5,Australian Open,2nd Round
Lorenzi P.,3/9/2016,29,US Open,3rd Round
Lorenzi P.,27/06/16,5.5,Wimbledon,1st Round
Lorenzi P.,24/05/16,2,French Open,1st Round
Lorenzi P.,18/01/16,9,Australian Open,1st Round
Lorenzi P.,3/9/2017,6,US Open,4th Round
Lorenzi P.,6/7/2017,2.37,Wimbledon,2nd Round
Lorenzi P.,1/6/2017,3,French Open,2nd Round
Lorenzi P.,18/01/17,4.33,Australian Open,2nd Round
Lorenzi P.,29/08/2018,2.75,US Open,2nd Round
Lorenzi P.,4/7/2018,9,Wimbledon,2nd Round
Lorenzi P.,29/05/18,7,French Open,1st Round
Lorenzi P.,15/01/18,2.2,Australian Open,1st Round
Lorenzi P.,30/08/2019,9,US Open,3rd Round
Lorenzi P.,1/7/2019,23,Wimbledon,1st Round
Reister J.,24/06/10,3.75,Wimbledon,2nd Round
Reister J.,28/05/10,21,French Open,3rd Round
Reister J.,21/06/11,7.5,Wimbledon,1st Round
Reister J.,23/05/11,4.5,French Open,1st Round
Reister J.,26/06/13,2.5,Wimbledon,2nd Round
Reister J.,28/05/13,1.5,French Open,1st Round
Reister J.,14/01/13,1.57,Australian Open,1st Round
Reister J.,26/06/14,5,Wimbledon,2nd Round
Reister J.,14/01/14,3.5,Australian Open,1st Round
Riba-Madrid P.,22/06/10,2.75,Wimbledon,1st Round
Aguilar J.,24/05/10,13,French Open,1st Round
Guez D.,25/05/10,15,French Open,1st Round
Guez D.,19/01/10,4,Australian Open,1st Round
Guez D.,22/05/11,4,French Open,1st Round
Guez D.,13/01/14,10,Australian Open,1st Round
Mina G.,25/05/10,34,French Open,1st Round
Schukin Y.,28/05/10,5,French Open,2nd Round
Ebden M.,19/01/10,7.5,Australian Open,1st Round
Ebden M.,18/01/11,1.9,Australian Open,1st Round
Ebden M.,30/08/12,3.5,US Open,2nd Round
Ebden M.,26/06/12,2.62,Wimbledon,1st Round
Ebden M.,28/05/12,13,French Open,1st Round
Ebden M.,19/01/12,3.5,Australian Open,2nd Round
Ebden M.,25/06/13,5.5,Wimbledon,1st Round
Ebden M.,14/01/13,5,Australian Open,1st Round
Ebden M.,28/08/14,4,US Open,2nd Round
Ebden M.,24/06/14,6.5,Wimbledon,1st Round
Ebden M.,27/05/14,10,French Open,1st Round
Ebden M.,15/01/14,2.75,Australian Open,2nd Round
Ebden M.,31/08/15,10,US Open,1st Round
Ebden M.,1/7/2015,5.5,Wimbledon,2nd Round
Ebden M.,19/01/16,2.75,Australian Open,1st Round
Ebden M.,30/08/2018,2.62,US Open,2nd Round
Ebden M.,7/7/2018,1.66,Wimbledon,3rd Round
Ebden M.,29/05/18,3.5,French Open,1st Round
Ebden M.,17/01/18,2.5,Australian Open,2nd Round
Ebden M.,2/7/2019,2.75,Wimbledon,1st Round
Ebden M.,28/05/2019,4,French Open,1st Round
Ebden M.,16/01/2019,10,Australian Open,2nd Round
Hocevar R.,19/01/10,13,Australian Open,1st Round
Kubler J.,18/01/10,10,Australian Open,1st Round
Kubler J.,29/08/2018,2.37,US Open,2nd Round
Kubler J.,2/7/2018,2.37,Wimbledon,1st Round
Kubler J.,15/01/18,3.75,Australian Open,1st Round
